producto,categoria,precio,Rubro,categoria,,569,electro
SISTEMA MESH TENDA NOVA MW3 (2-PACK) AC1200,redes,112.09341,001-0612,redes,,,
SISTEMA MESH WAVLINK WL-WN535K2 AC1200 (PACK 2),redes,74.060415,001-0612,redes,,,
DRUM SAMSUNG CLP-R300A/XAA CAJA DA�ADA,impresion,7.90075,001-0613,impresion,,,
SOUND CARD 32 PCI ENCORE 8 CHANNEL,accesorios,15.38823,001-0620,accesorios,,,
NB LENOVO + EXT. DE GARANTIA,notebooks,1186.218605,001-0998,notebooks,,,
BANDEJA DUPLEX P/ X560N 14A1121,impresion,205.674755,001-1001,impresion,,,
BANDEJA DUPLEX SAMSUNG ML-U4050A P/ ML-4050N,impresion,6.83111,001-1001,impresion,,,
BANDEJA LEXMARK 550 HOJAS E250/350/450/X340/342,impresion,91.223275,001-1001,impresion,,,
BANDEJA SAMSUNG P/M3820ND/M4020ND/M4072  520 HOJAS,impresion,63.206,001-1001,impresion,,,
BANDEJA SAMSUNG SCX-S6555A P/ SCX-6545N 520 HOJAS,impresion,64.39719,001-1001,impresion,,,
BAR CODE CARD 10Z0400  LEXMARK  C780/C782,impresion,491.098465,001-1001,impresion,,,
HP BANDEJA P/SOBRES C8053A HP4100 LASER,impresion,445.45644,001-1001,impresion,,,
LEXMARK FLASH 32MB 1021208,impresion,170.6342,001-1001,impresion,,,
LEXMARK FLASH 64MB 1021209,impresion,78.338975,001-1001,impresion,,,
LEXMARK IPDS W840 25A0032,impresion,206.015095,001-1001,impresion,,,
PAPEL BROTHER BP61GLP 4X6 GLOSSY PHOTO,impresion,2.443155,001-1001,impresion,,,
ADAPTADOR 5.25M A 5.25M POWER 15CM 4PINES,cables,1.23783,001-1055,cables,,,
ADAPTADOR N HEMBRA-RPSMA HEMBRA PACIFIC WIRELESS,cables,1.79894,001-1055,cables,,,
BANDEJA 19` 1U-300MM GLC FIJA LIVIANA,cables,39.02492,001-1055,cables,,,
BANDEJA 19` 1U-400MM GLC DESLIZABLE,cables,81.13776,001-1055,cables,,,
BANDEJA 19` 2U-400 GLC FIJA LIVIANA,cables,52.92287,001-1055,cables,,,
BANDEJA FURUKAWA FO DIO B48 - MODULO BASICO,cables,132.866305,001-1055,cables,,,
CABLE FTP CAT.5E GLC EXT. C/PORTANTE X 305MTS,cables,356.89511,001-1055,cables,,,
CABLE FTP CAT.5E GLC EXTERIOR X 305MTS,cables,250.1499,001-1055,cables,,,
CABLE FTP CAT.5E GLC MAX EXT. C/PORTANTE X 305MTS,cables,552.44475,001-1055,cables,,,
CABLE FTP CAT.6 GLC EXTERIOR MAX X305MT DobleVaina,cables,570.75018,001-1055,cables,,,
CABLE FURUKAWA F/UTP CAT.6A G.AUG LSZH x305mt GR,cables,533.23985,001-1055,cables,,,
CABLE FURUKAWA FO CFOT-MM-MF 06F (50) COR,cables,5.324,001-1055,cables,,,
CABLE FURUKAWA FO F-LAN-AR IN/UOT 06F MM OM4 LSZH,cables,7.34712,001-1055,cables,,,
CABLE FURUKAWA FTP CAT.5E Multi CMX Out x305mts,cables,533.91734,001-1055,cables,,,
CABLE FURUKAWA FTP CAT.6 CM VM x1000mts,cables,1809.52112,001-1055,cables,,,
CABLE S-ATA III DATOS 6 GHZ  CX RED COLOR,cables,4.63188,001-1055,cables,,,
CABLE USB HEMBRA A MICRO USB (OTG),cables,2.30263,001-1055,cables,,,
CABLE UTP CAT.5E GLC ECO SOHO X 305MTS,cables,169.5694,001-1055,cables,,,
CABLE UTP CAT.5E GLC EXTERIOR C/PORTANTE X 305MTS,cables,314.90129,001-1055,cables,,,
CABLE UTP CAT.5E GLC EXTERIOR X 100 MTS,cables,73.80395,001-1055,cables,,,
CABLE UTP CAT.5E GLC EXTERIOR X 305MTS NEGRO,cables,221.7446,001-1055,cables,,,
CABLE UTP CAT.5E GLC INT/EXT MAX x305mts P/CCTV,cables,303.668365,001-1055,cables,,,
CABLE UTP CAT.5E GLC INTER/EXT MAX  X 305MTS NEGRO,cables,348.04627,001-1055,cables,,,
CABLE UTP CAT.5E GLC INTERIOR X 305MTS GR,cables,182.6132,001-1055,cables,,,
CABLE UTP CAT.6 GLC EXTERIOR MAX X305MTS,cables,479.16,001-1055,cables,,,
CABLE UTP CAT.6 GLC EXTERIOR X 305MTS DOBLE VAINA,cables,275.49038,001-1055,cables,,,
CABLE UTP CAT.6 GLC INTERIOR MAX X305MTS GRIS,cables,454.31023,001-1055,cables,,,
CANALETA FURUKAWA ITMAX - COND FLEX CORR 50MM x 2M,cables,87.87262,001-1055,cables,,,
CANALETA FURUKAWA ITMAX - COND FLEX CORR 88MM x 2M,cables,135.93503,001-1055,cables,,,
CANALETA FURUKAWA ITMAX 100MM EMPALME CON SLOTT,cables,6.49528,001-1055,cables,,,
CANALETA FURUKAWA ITMAX 100MM FIN SEG C/SAL 88MM,cables,21.74854,001-1055,cables,,,
CANALETA FURUKAWA ITMAX 100MM FIN SEG SIN SLOTT,cables,33.60775,001-1055,cables,,,
CANALETA FURUKAWA ITMAX 100MM LECHO PPAL SIN TAPA,cables,142.0177,001-1055,cables,,,
CANALETA FURUKAWA ITMAX 220MM CURVA HTAL 90 S/TAPA,cables,62.75665,001-1055,cables,,,
CANALETA FURUKAWA ITMAX 220MM DERIV HTAL T S/TAPA,cables,48.7146,001-1055,cables,,,
CANALETA FURUKAWA ITMAX 220MM EMPALME SIN SLOTT,cables,49.04735,001-1055,cables,,,
CANALETA FURUKAWA ITMAX 220MM FIN SEG SIN SLOTT,cables,45.97274,001-1055,cables,,,
CANALETA FURUKAWA ITMAX 220MM LECHO PPAL SIN TAPA,cables,202.49834,001-1055,cables,,,
CANALETA FURUKAWA ITMAX 300MM CURVA HTAL 90 S/TAPA,cables,87.10064,001-1055,cables,,,
CANALETA FURUKAWA ITMAX 300MM DERIV HTAL CRUZ S/TA,cables,575.56433,001-1055,cables,,,
CANALETA FURUKAWA ITMAX 300MM DERIV HTAL EN T S/TA,cables,74.60255,001-1055,cables,,,
CANALETA FURUKAWA ITMAX 300MM EMPALME CON SLOTT,cables,22.74679,001-1055,cables,,,
CANALETA FURUKAWA ITMAX 300MM EMPALME SIN SLOTT,cables,46.03929,001-1055,cables,,,
CANALETA FURUKAWA ITMAX 300MM FIN SEG SIN SLOTT,cables,28.84277,001-1055,cables,,,
CANALETA FURUKAWA ITMAX 300MM LECHO PPAL S/TAPA,cables,332.19098,001-1055,cables,,,
CANALETA FURUKAWA ITMAX 50MM FIN SEG C/SAL 44MM,cables,23.94469,001-1055,cables,,,
CANALETA FURUKAWA ITMAX SALIDA SUP VCAL50X50MM C/T,cables,62.37066,001-1055,cables,,,
CANALETA FURUKAWA ITMAX SALIDA SUPERIOR C/TAPA,cables,98.77351,001-1055,cables,,,
CANALETA FURUKAWA ITMAX SOPORTE DE MONTAJE HTAL100,cables,37.77378,001-1055,cables,,,
CANALETA FURUKAWA ITMAX SOPORTE DE MONTAJE HTAL220,cables,40.52895,001-1055,cables,,,
CANALETA FURUKAWA ITMAX SOPORTE DE MONTAJE HTAL300,cables,41.32755,001-1055,cables,,,
CAPUCHON RJ45 GLC x100 UNID GRIS,cables,13.23014,001-1055,cables,,,
ESTANTE P/RACK GLC 1U-600 C/FIJACION EN 4 PUNTAS,cables,42.01967,001-1055,cables,,,
ESTANTE P/RACK GLC 1U-800 C/FIJACION EN 4 PUNTAS,cables,49.27362,001-1055,cables,,,
FACE PLATE FURUKAWA  4 POSICIONES BLANCO GLOSSY,cables,2.90158,001-1055,cables,,,
FACE PLATE GLC 1 PUERTOS CAT 5E/6 RJ45,cables,1.87671,001-1055,cables,,,
FACE PLATE GLC 2 PUERTOS CAT 5E/6 RJ45,cables,2.31594,001-1055,cables,,,
FACE PLATE GLC 4 PUERTOS CAT 5E/6 RJ45,cables,1.87671,001-1055,cables,,,
FIBRA EXT CONECT. FKW 2F MM (62.5) ST,cables,7.91945,001-1055,cables,,,
FIBRA KIT 3X PLACAS LGX 08 POSICIONES LC/SC FKW,cables,11.24695,001-1055,cables,,,
FIBRA KIT DE ADAPT OPTICOS 2X MM ST-PC FKW,cables,1.54396,001-1055,cables,,,
HERRAMIENTA FURUKAWA ALICATE DE CRIMPEADO RJ-45,cables,160.74487,001-1055,cables,,,
HERRAMIENTA FURUKAWA DE IMPACTO RAPIDO 90/180,cables,127.27022,001-1055,cables,,,
HERRAMIENTA FURUKAWA ITMAX CREACION SLOTS c/Maleta,cables,2207.9959,001-1055,cables,,,
HERRAMIENTA FURUKAWA ITMAX p/Corte de Canaletas,cables,439.97536,001-1055,cables,,,
JACK FURUKAWA RJ45 HEMBRA CAT.6 BLINDADO,cables,16.58426,001-1055,cables,,,
JACK FURUKAWA RJ45 HEMBRA CAT.6 GIGALAN T568A/B BL,cables,9.34362,001-1055,cables,,,
JACK FURUKAWA RJ45 HEMBRA CAT.6 GIGALAN T568A/B NG,cables,9.34362,001-1055,cables,,,
JACK FURUKAWA RJ45 HEMBRA CAT.6 PREMIUM BL,cables,12.71105,001-1055,cables,,,
JACK FURUKAWA RJ45 HEMBRA CAT.6A BLINDADO AUG. BL,cables,21.74854,001-1055,cables,,,
JACK HUBBELL CATEGORIA 6A 8POS BLISTER X24 UNID.,cables,92.39802,001-1055,cables,,,
JACK HUBBELL HJ6A CAT6A UNI WH,cables,4.3923,001-1055,cables,,,
JACK RJ45 HEMBRA CAT.5 GLC 110 IDC A/B  BLANCO,cables,3.71349,001-1055,cables,,,
JACK RJ45 HEMBRA CAT.5 GLC 110 IDC A/B NEGRO,cables,2.75517,001-1055,cables,,,
JACK RJ45 HEMBRA CAT.6 GLC 110 IDC A/B  BLANCO,cables,4.5254,001-1055,cables,,,
KIT FURUKAWA  ADAPTADORES FO 02F MM LC-PC X3 BEIGE,cables,16.21477,001-1055,cables,,,
KIT FURUKAWA 3X PANEL  8 POS. LC/SC LGX - PLASTICO,cables,14.16184,001-1055,cables,,,
KIT FURUKAWA 3X PANEL 12 POS. LC/SC LGX - PLASTICO,cables,14.16184,001-1055,cables,,,
KIT FURUKAWA FO BANDEJA DE EMPALME STACK 12F,cables,32.222905,001-1055,cables,,,
KIT FURUKAWA FO BANDEJA DE EMPALME STACK 24F,cables,50.625575,001-1055,cables,,,
KIT FURUKAWA FO BANDEJA DE EMPALME STACK 48F,cables,96.00503,001-1055,cables,,,
MURAL GLC CCTV 19`  3U-370MM Desarmado,cables,157.53716,001-1055,cables,,,
"MURAL GLC SOHO 19""    6U-500 Desarmado",cables,272.56218,001-1055,cables,,,
MURAL GLC SOHO 19`    9U-500 Desarmado,cables,333.17592,001-1055,cables,,,
MURAL GLC SOHO 19`  15U-500 Desarmado,cables,447.68185,001-1055,cables,,,
PATCHCORD CAT.5E FURUKAWA MULTILAN 1.0M NG,cables,5.81647,001-1055,cables,,,
PATCHCORD CAT.5E FURUKAWA MULTILAN 3.0M NG,cables,9.75623,001-1055,cables,,,
PATCHCORD FURUKAWA CAT.5E - 1.0M MULTILAN NG,cables,5.81647,001-1055,cables,,,
PATCHCORD FURUKAWA CAT.5E - 2.0M MULTILAN AZ,cables,7.94607,001-1055,cables,,,
PATCHCORD FURUKAWA CAT.5E - 2.0M MULTILAN NG,cables,7.94607,001-1055,cables,,,
PATCHCORD FURUKAWA CAT.5E - 2.5M MULTILAN NG,cables,8.9177,001-1055,cables,,,
PATCHCORD FURUKAWA CAT.6 - 10M GIGALAN NG,cables,28.00424,001-1055,cables,,,
PATCHCORD FURUKAWA CAT.6 - 15M GIGALAN NG,cables,39.05154,001-1055,cables,,,
PATCHCORD FURUKAWA CAT.6 - 2.5M GIGALAN GRIS,cables,10.46166,001-1055,cables,,,
PATCHCORD FURUKAWA CAT.6 - 2.5M GREEN GIGALAN GRIS,cables,11.52646,001-1055,cables,,,
PATCHCORD FURUKAWA CAT.6A 10M GIGALAN LSZH AUG GR,cables,53.31986,001-1055,cables,,,
PATCHCORD FURUKAWA CAT.6A G.LAN AUG 1.0M LSZH GR,cables,18.91351,001-1055,cables,,,
PATCHCORD FURUKAWA CAT.6A G.LAN AUG 2.5M LSZH GR,cables,25.36886,001-1055,cables,,,
PATCHCORD FURUKAWA CAT.6A G.LAN AUG GREEN 0.5M GR,cables,17.50265,001-1055,cables,,,
PATCHCORD FURUKAWA CAT.6A G.LAN AUG GREEN 2.5M VD,cables,21.01649,001-1055,cables,,,
PATCHCORD FURUKAWA FO DUP 50.0 LC/SC-SPC 2.5M NJ,cables,31.09216,001-1055,cables,,,
PATCHCORD FURUKAWA FO DUP OM3 LC/LC-UPC 2.5m LSZH,cables,68.63967,001-1055,cables,,,
PATCHCORD FURUKAWA FO DUP OM4 LC/LC-UPC 5.0M Acua,cables,67.32198,001-1055,cables,,,
PATCHCORD FURUKAWA FO OM4 LC/LC-UPC 2.5M-LSZH ACQ,cables,59.2295,001-1055,cables,,,
PATCHCORD FURUKAWA FO OM4 LC/LC-UPC 3.0M-LSZH ACQ,cables,54.3048,001-1055,cables,,,
PATCHCORD FURUKAWA MULTILAN  CAT.5E - 1.5M NG,cables,6.84134,001-1055,cables,,,
PATCHCORD GLC CAT.5E - 0.6M NEGRO,cables,2.22277,001-1055,cables,,,
PATCHCORD GLC CAT.5E - 1.2M NEGRO,cables,3.16778,001-1055,cables,,,
PATCHCORD GLC CAT.5E - 1.8M NEGRO,cables,3.48722,001-1055,cables,,,
PATCHCORD GLC CAT.5E - 2.4M NEGRO,cables,4.36568,001-1055,cables,,,
PATCHCORD GLC CAT.6 - 0.6M NEGRO,cables,3.86529,001-1055,cables,,,
PATCHCORD GLC CAT.6 - 1.2M NEGRO,cables,4.825535,001-1055,cables,,,
PATCHCORD GLC CAT.6 - 1.8M,cables,4.93493,001-1055,cables,,,
PATCHCORD GLC CAT.6 - 2.4M NEGRO,cables,6.041035,001-1055,cables,,,
PATCHCORD GLC FO LC/PC - LC/PC SM 2mts SIMPLEX,cables,6.29629,001-1055,cables,,,
PATCHCORD GLC FO LC/PC- LC/PC SM X 100MTS DUPLEX,cables,85.5833,001-1055,cables,,,
PATCHCORD HUBBELL 10G SHD PC6A GY 2.1 MTS,cables,4.45885,001-1055,cables,,,
PATCHPANEL FURUKAWA 24P CAT.5E MULTILAN NEGRO,cables,160.33226,001-1055,cables,,,
PATCHPANEL GLC 24P  CAT 5E P/ KRONE/110,cables,69.42496,001-1055,cables,,,
PATCHPANEL GLC 24P CAT 6 P/ KRONE/110,cables,104.16406,001-1055,cables,,,
PIGTAIL FIBRA OPTICA FURUKAWA 02F SM LC-SPC,cables,26.2207,001-1055,cables,,,
PIGTAIL FO GLC LC SM 2MTS,cables,3.62032,001-1055,cables,,,
PIGTAIL FO GLC SC/APC SM 2MTS,cables,3.83328,001-1055,cables,,,
PIGTAIL FO GLC SC/PC SM 2MTS,cables,3.4606,001-1055,cables,,,
PIGTAIL FURUKAWA FO . 2F MM (62.5) SC-SPC,cables,6.308445,001-1055,cables,,,
PIGTAIL FURUKAWA FO CON 02F OM4 LC-UPC 1.5M D0.9,cables,33.0616,001-1055,cables,,,
PIGTAIL FURUKAWA FO SM LC-PC D2,cables,4.68512,001-1055,cables,,,
PIGTAIL FURUKAWA FO SM SC-PC D0.9/D2,cables,3.47391,001-1055,cables,,,
PINZA PELADORA GLC AJUSTABLE P/CABLES 0.5 A 6mm,cables,41.64699,001-1055,cables,,,
PLUG RJ45 GLC CAT.5E x100 UNID,cables,18.58076,001-1055,cables,,,
PLUG RJ45 GLC CAT.6  x100 UNID,cables,72.49242,001-1055,cables,,,
"RACK 19"" GLC 30U-600 Desarmado",cables,1266.417295,001-1055,cables,,,
"RACK 19"" GLC 30U-800 Desarmado",cables,1415.30389,001-1055,cables,,,
"RACK 19"" GLC 40U-800 Desarmado",cables,1750.332155,001-1055,cables,,,
"RACK 19"" GLC 45U-1000 SERVER Desarmado",cables,2511.71679,001-1055,cables,,,
"RACK 19"" GLC 45U-800 Desarmado",cables,1879.96523,001-1055,cables,,,
RACK 19` GLC 20U-800 Desarmado,cables,1226.94242,001-1055,cables,,,
ROSETA FO GLC 2PORTS INTERIOR,cables,1.82347,001-1055,cables,,,
TAPA CIEGA FURUKAWA PARA FACE PLATE  BLANCO X10,cables,10.92751,001-1055,cables,,,
TESTER PARA REDES GLC RJ45/RJ11,cables,20.60388,001-1055,cables,,,
TRANSCEIVER GLC 1550NM 1.25Gb/s LC 40km DDM SM,cables,72.47295,001-1055,cables,,,
UNIDAD DE VENT GLC CON 2 TURBINAS,cables,323.81899,001-1055,cables,,,
BANDEJA SAMSUNG P/ ML-3310ND/ML-3710ND/ML-3750,electro,143.94765,001-1259,electro,,,
CABLE MINI SATA 7P+6P P/ SLIM ODD  P/GAB T3500,electro,8.13241,001-1259,electro,,,
CARD INTEL PROMO CPU INTEL 9GEN VERSION F,electro,8.31875,001-1259,electro,,,
CARD READER MICRO SD FOR CASE TF2216,electro,20.21789,001-1259,electro,,,
CONTROL REMOTO CX MULTIMEDIA CENTER PC/NB USB,electro,23.87814,001-1259,electro,,,
CONTROL REMOTO CX MULTIMEDIA CENTER PC/NB USB/EXPO,electro,14.81403,001-1259,electro,,,
Kit de ruedas EVO2  800 (B),electro,213.11972,001-1259,electro,,,
LENTES 3D NVIDIA,electro,341.22847,001-1259,electro,,,
SMART WATCH CIRCLE ONE FOX NEGRO,electro,43.71004,001-1259,electro,,,
SMART WATCH X8MAX IP67 FOX LILA,electro,31.98393,001-1259,electro,,,
SMART WATCH X8MAX IP67 FOX ROJO,electro,29.65468,001-1259,electro,,,
TECLADO CX SLIM WK-718 (CAJA DA�ADA),electro,7.78635,001-1259,electro,,,
TV 55 SMART PHILIPS 4K UHD ANDROID 55PUD7906,electro,804.02894,001-1260,electro,,,
TV 70 SMART PHILIPS 4K UHD ANDROID 70PUD7906/77,electro,1468.482015,001-1260,electro,,,
TV 75 SMART PHILIPS 4K UHD ANDROID 75PUD8516,electro,2044.629015,001-1260,electro,,,
AIO 24 DELL OPTIPLEX 5400 I5-12500 8 256GB UBUNTU,pc,1687.13831,001-1261,pc,,,
AIO 24 LENOVO NEO30A I5-1240P 8G SSD256 GTIA 3YOS,pc,1824.64128,001-1261,pc,,,
AIO 24 LENOVO NEO30A I7-1260P 8GB SSD512 GTIA 3YOS,pc,2078.86228,001-1261,pc,,,
GIFT JUEGO PC COMPANY OF HEROES,gamer,12.155,001-1510,gamer,,,
GIFT JUEGO PC LOST PLANET,gamer,12.155,001-1510,gamer,,,
JUEGO XBOX 360 MICROSOFT FABLE: THE JOURNEY,gamer,2.029885,001-1510,gamer,,,
JUEGO XBOX ONE MICROSOFT RYSE GOTY (CAJA ROTA),gamer,26.242645,001-1510,gamer,,,
"APC ATS P/RACK, 230 V, 10 A, ENTRADA C14/C13",electro,2026.43419,001-3560,electro,,,
APC CABLE USB P/KVM 1.8M,electro,196.70849,001-3560,electro,,,
"APC Easy PDU, Basic, 1U, 16A, 230V, (8)C13",electro,243.65286,001-3560,electro,,,
"APC Easy PDU,Basic,ZeroU,16A,230V,(20)C13 & (4)C19",electro,374.677875,001-3560,electro,,,
APC NetBotz Spot Fluid Sensor - 15 ft.,electro,373.76625,001-3560,electro,,,
APC NetShelter SX 42U/48U Baying Trim Kit Black,electro,87.17566,001-3560,electro,,,
APC PROTEC TRANS POT P/LINEAS TEL DIGITAL,electro,35.796475,001-3560,electro,,,
"APC Rack PDU 2G, CONMUTADO, 0U, 32A,(21)C13 Y (3)C",electro,4616.092195,001-3560,electro,,,
"APC Rack PDU, Switched, 1U, 10A/230V, (8)C1 (DEMO)",electro,1008.6318,001-3560,electro,,,
APC Router y coordinador USB inal�mbrico NetBotz,electro,245.34323,001-3560,electro,,,
APC Sensor de humedad y temperatura inal�mbrico,electro,328.47749,001-3560,electro,,,
APC Sensor de temperatura inal�mbrico,electro,245.34323,001-3560,electro,,,
APC SENSOR HUMO 10FT,electro,701.25066,001-3560,electro,,,
APC SENSOR MONIT ACCESO P/NETSHELTER SX 12FT,electro,378.04393,001-3560,electro,,,
APC SENSOR MONIT ACCESO P/NETSHELTER SX 12FT (DEMO,electro,278.8445,001-3560,electro,,,
APC SENSOR MONITOREO ACCESO P/RACK O SALA 50,electro,191.73055,001-3560,electro,,,
APC SENSOR TEMP P/CENTRO DATOS C/PANTALLA,electro,690.44294,001-3560,electro,,,
APC SNMP CARD - EASY UPS ONLINE,electro,404.10491,001-3560,electro,,,
APC SRT 19 RAIL KIT FOR SMART-UPS SRT,electro,254.81995,001-3560,electro,,,
"APC Symmetra PX Power Module, 10/16kW, 400V",electro,13426.34271,001-3560,electro,,,
APC Temperature & Humidity Sensor,electro,474.46157,001-3560,electro,,,
APC Temperature & Humidity Sensor,electro,504.42238,001-3560,electro,,,
APC Temperature Sensor,electro,228.59925,001-3560,electro,,,
"APCEasy PDU, Basic, Zero U, 32A, 230V, (20)C13 & (",electro,673.81875,001-3560,electro,,,
BATERIA APC EASY SRV 240V TOWER PARA 6/10KVA,electro,1922.50971,001-3560,electro,,,
BATERIA APC EASY SRV 36V PACK TORRE,electro,680.32734,001-3560,electro,,,
BATERIA APC EASY SRV 72V  2KVA AND 3KVA TORRE,electro,1097.05013,001-3560,electro,,,
BATERIA APC SMART-UPS XL 24V,electro,565.42211,001-3560,electro,,,
BATERIA APC SRT 192V 5KVA AND 6KVA,electro,2891.25144,001-3560,electro,,,
BATERIA P/UPS 12V 9.0 AH TRV LP12-9.0,electro,37.73385,001-3560,electro,,,
KIT DE RACK - APC EASY UPS 700MM,electro,99.46563,001-3560,electro,,,
KIT DE RACK - APC EASY UPS 900MM,electro,127.65621,001-3560,electro,,,
KIT RACK QNAP B02,electro,226.77578,001-3560,electro,,,
SOFTWARE P/ UPS TRV RUPS 2000,electro,0.33275,001-3560,electro,,,
APC Fan cooler p/Easy Rack APC,accesorios,314.63509,001-3561,accesorios,,,
APC NetShelter SX Bolt-Down Kit,accesorios,124.47512,001-3561,accesorios,,,
MURAL APC NETSHELTER WX 6U - LOW PROFILE (DEMO),accesorios,1896.28901,001-3561,accesorios,,,
RACK APC EASY 42U 600X1100MM,accesorios,2092.53165,001-3561,accesorios,,,
RACK APC EASY 42U 800X1200MM,accesorios,2664.20946,001-3561,accesorios,,,
RACK APC NetShelter SX 42U 1070MM,accesorios,3923.97434,001-3561,accesorios,,,
RACK GABITEL EVO3 19` 20U  800MM C/PUERTA (N),accesorios,1277.56035,001-3561,accesorios,,,
RACK GABITEL EVO3 19` 31U  800MM C/PTA (N),accesorios,1682.66351,001-3561,accesorios,,,
RACK GABITEL EVO3 19` 40U  800MM C/PTA (N),accesorios,1858.076,001-3561,accesorios,,,
RACK GABITEL EVO4 19` 45U 1000MM C/PTA (N) - EXPO,accesorios,1581.33448,001-3561,accesorios,,,
RACK GABITEL EVO4 19` 45U 1200MM C/PTA (N),accesorios,3116.86925,001-3561,accesorios,,,
CELULAR ALCATEL 5H PLUS 4GB/128GB,celulares,294.74995,001-3562,celulares,,,
CELULAR MOTOROLA  4GB+64GB MOTO E32 GRAVITY GREY,celulares,285.55274,001-3562,celulares,,,
CELULAR MOTOROLA  4GB+64GB MOTO E32 HYPER SILVER,celulares,272.38915,001-3562,celulares,,,
CELULAR MOTOROLA  MOTO G82 5G 6GB+128GB EDGE WHITE,celulares,568.17728,001-3562,celulares,,,
CELULAR MOTOROLA E20 2GB + 32GB AZUL AQUA,celulares,211.25632,001-3562,celulares,,,
CELULAR MOTOROLA E20 2GB+ 32GB GRAPHITE (XT2155-1),celulares,220.42691,001-3562,celulares,,,
CELULAR MOTOROLA E22 2GB + 32GB BLACVK,celulares,255.39228,001-3562,celulares,,,
CELULAR MOTOROLA E22 3GB + 32GB NIAGARA,celulares,234.24269,001-3562,celulares,,,
CELULAR MOTOROLA E22I  2GB+32GB BLANCO,celulares,217.91132,001-3562,celulares,,,
CELULAR MOTOROLA E40 4GB + 64GB DARK CEDAR,celulares,302.8025,001-3562,celulares,,,
CELULAR MOTOROLA E40 4GB + 64GB GRIS ACERO,celulares,302.8025,001-3562,celulares,,,
CELULAR MOTOROLA G22 4GB+128 ARTIC BLUE,celulares,319.54648,001-3562,celulares,,,
CELULAR MOTOROLA G22 4GB+128 ECO BLACK,celulares,326.37451,001-3562,celulares,,,
CELULAR MOTOROLA G32 4GB+128 GB SOFT SILVER,celulares,356.21553,001-3562,celulares,,,
CELULAR MOTOROLA G41 4GB+128 GB METEORITE BLACK,celulares,375.4751,001-3562,celulares,,,
CELULAR MOTOROLA G51 4GB+128 GB WINTER DAWN,celulares,412.22401,001-3562,celulares,,,
CELULAR MOTOROLA G52 6GB+128 GB AZUL,celulares,437.48639,001-3562,celulares,,,
CELULAR MOTOROLA MOTO EDGE 30 12GB+256GB FUS AZUL,celulares,1015.67279,001-3562,celulares,,,
CELULAR MOTOROLA MOTO EDGE 30 12GB+256GB FUS NEGRO,celulares,1015.67279,001-3562,celulares,,,
CELULAR MOTOROLA MOTO EDGE 30 8GB+128GB GRIS,celulares,680.99284,001-3562,celulares,,,
CELULAR MOTOROLA MOTO EDGE 30 8GB+128GB MOONLESS,celulares,628.60468,001-3562,celulares,,,
CELULAR MOTOROLA MOTO EDGE 30 8GB+128GB PLATA OPAL,celulares,694.92841,001-3562,celulares,,,
CELULAR MOTOROLA MOTO EDGE 30 FUSION 12GB+256GB BL,celulares,1042.29279,001-3562,celulares,,,
CELULAR MOTOROLA MOTO G42 4GB+128 ROSA METALICO,celulares,395.10735,001-3562,celulares,,,
CELULAR NOBLEX A50 1G/32G,celulares,149.23172,001-3562,celulares,,,
CELULAR NOBLEX A50 PLUS 2G/32G,celulares,124.48843,001-3562,celulares,,,
CELULAR NOBLEX A60 4G  2G/32G,celulares,163.56659,001-3562,celulares,,,
CELULAR SAMSUNG  SM-A127MZKK A22 5G 128BG WHITE,celulares,433.16064,001-3562,celulares,,,
CELULAR SAMSUNG  SM-A528BXKM A52S BLACK 6GB 128GB,celulares,665.42014,001-3562,celulares,,,
CELULAR SAMSUNG A22 4GB 128BG GRAY,celulares,446.56381,001-3562,celulares,,,
CELULAR SAMSUNG GALAXY A03  3GB - 32GB BLACK,celulares,230.40941,001-3562,celulares,,,
CELULAR SAMSUNG GALAXY A03  4GB - 128GB BLACK,celulares,300.806,001-3562,celulares,,,
CELULAR SAMSUNG GALAXY A03  4GB - 64GB BLUE,celulares,267.78389,001-3562,celulares,,,
CELULAR SAMSUNG GALAXY A13 4GB - 128GB BLACK,celulares,377.48491,001-3562,celulares,,,
CELULAR SAMSUNG GALAXY A13 4GB - 64GB WHITE,celulares,362.88384,001-3562,celulares,,,
CELULAR SAMSUNG GALAXY A23 4GB-128GB BLACK,celulares,497.1285,001-3562,celulares,,,
CELULAR SAMSUNG GALAXY M13 4GB - 128GB GREEN DEEP,celulares,441.26643,001-3562,celulares,,,
CELULAR SAMSUNG GALAXY S20 FE 6GB-128GB CLOUD NAVY,celulares,978.35155,001-3562,celulares,,,
CELULAR SAMSUNG GALAXY S21 FE 6GB-128GB GRAPHITE,celulares,1151.30169,001-3562,celulares,,,
CELULAR SAMSUNG GALAXY S22 ULTRA 12GB-256GB BLACK,celulares,2170.12895,001-3562,celulares,,,
CELULAR SAMSUNG GALAXY Z FLIP4 8GB-128GB PINK GOLD,celulares,1507.81004,001-3562,celulares,,,
CELULAR SAMSUNG GALAXY Z FLIP4 8GB-256GB GRAPHITE,celulares,1640.17799,001-3562,celulares,,,
CELULAR SAMSUNG M23 4GB+128BG GREEN,celulares,603.26244,001-3562,celulares,,,
CELULAR SAMSUNG SM-A135MZKKARO  A13 4GB+64BG BLACK,celulares,407.75185,001-3562,celulares,,,
CELULAR SAMSUNG SM-A235MZKEARO A23 4GB+128BG BLACK,celulares,451.7414,001-3562,celulares,,,
