Descripcion,cateogira,precio final,,,,569,electro
FAN GRALF 6` 172X150X51MM RULEMAN 220V,electro,58.71041,,,,,
FAN HP  REDUNDANTE NON PLUG ML350 G4,coolers,56.0351,,,,,
FAN HP REDUNDANTE HOT PLUG ML370 G4,coolers,109.49224,,,,,
FAN POWER C  PCH179M,accesorios,7.44029,,,,,
FAN SYX P/ GAB 120MM MULTICOLOR,coolers,7.78635,,,,,
FAN SYX P/ GAB 120MM RGB,coolers,10.90089,,,,,
FELPA ACEIT. LX300/AP2250/3250 -1011120-,accesorios,0.17303,,,,,
FIBRA EXT CONECT. FKW 2F MM (62.5) ST,cables,7.91945,,,,,
FIBRA KIT 3X PLACAS LGX 08 POSICIONES LC/SC FKW,cables,11.24695,,,,,
FIBRA KIT DE ADAPT OPTICOS 2X MM ST-PC FKW,cables,1.54396,,,,,
FIBRA OPTICA HUBBELL INTERIOR M-M OM1 12 HILOS,redes,0.7986,,,,,
FIBRA OPTICA HUBBELL INTERIOR M-M OM1 6 HILOS,redes,0.45254,,,,,
FIBRA OPTICA HUBBELL INTERIOR M-M OM4 6 HILOS,redes,1.30438,,,,,
FICHA BMC,accesorios,6.1226,,,,,
FILM BROTHER PC 95 X5+CARTRD PPF900/950,impresion,6.655,,,,,
FILM BROTHER PC104 FILMX4 TERM PPF1350,impresion,9.9825,,,,,
FILM BROTHER PC204 X4 PPF1270,impresion,8.74467,,,,,
FILM BROTHER PC301 1 TERM PPF970/770,impresion,4.57864,,,,,
FILM BROTHER PC304 FILMX4 TERM PPF970/7 PC-304RF,impresion,10.07567,,,,,
"FILM P/PANASONIC 80,81,85 TTRP55 X2 - FULLMARK",impresion,7.3205,,,,,
FILM P/SHARP UX200/370/470 X 2 - FULLMARK,impresion,7.90614,,,,,
FILM P/SHARP UXP SERIES X 2 -  FULLMARK,accesorios,12.79091,,,,,
FILM PARA CELULARES SAM S3600 ESPEJADO,accesorios,0.05324,,,,,
FILM SHARP FO-16CR FAX-FO1450/1650/1850,impresion,31.61125,,,,,
FILTRO  DE CRISTAL 14/15,accesorios,2.467465,,,,,
FILTRO  DE CRISTAL 16/18,accesorios,4.363645,,,,,
FILTRO  DE CRISTAL 17/18,accesorios,6.08267,,,,,
FILTRO  TELA MONO 12,accesorios,0.75867,,,,,
FLEJES CRISTAL 12MM AUTOMATIC,accesorios,5.9895,,,,,
FOTOCONDUCTOR EPSON S051005 ACTIONLASER,impresion,93.64916,,,,,
FRENTE 3U P/9 TERMICAS BIP (B),electro,52.62774,,,,,
FRENTE GABINETE 0656 BLACK,accesorios,0.838695,,,,,
FRENTE GABITEL CIEGO 19` 4U (N),electro,29.02911,,,,,
FRENTE GABITEL CIEGO 19` 6U (N),electro,40.48902,,,,,
FUENTE  PERFORMANCE  5V - 1A,fuentes,4.67181,,,,,
FUENTE  PERFORMANCE 12V - 2A   (P/TABLET PIN FINO),fuentes,14.56114,,,,,
FUENTE  PERFORMANCE CARGA RAPIDA 3.0 USB BCO  12V,accesorios,8.6515,,,,,
FUENTE  PERFORMANCE CARGA RAPIDA QC3.0 USB BCO,accesorios,5.74992,,,,,
FUENTE  PERFORMANCE CARGADOR 5V-1A USB S/CABLE BCO,fuentes,3.87321,,,,,
FUENTE  PERFORMANCE CARGADOR 5V-2A USB S/CABLE BCO,fuentes,4.45885,,,,,
FUENTE 1000W ADATA XPG CYBERCORE PLATINUM,fuentes,391.79316,,,,,
FUENTE 1000W GIGABYTE GP-P1000GM 80 PLUS GOLD,fuentes,299.94085,,,,,
FUENTE 1050W GAMEMAX 85 PLUS  SILVER GM-1050,fuentes,239.77965,,,,,
FUENTE 1300W ADATA XPG CYBERCORE PLATINUM,fuentes,474.9008,,,,,
FUENTE 200W P/ CX MINI SLIM,accesorios,39.62387,,,,,
FUENTE 450W GAMEMAX VP-450 FAN 12CM 78 EF,fuentes,67.28205,,,,,
FUENTE 500W GAMEMAX 80 PLUS BRONZE VP-500 FAN 12CM,fuentes,95.07333,,,,,
FUENTE 550W GIGABYTE 80 PLUS BRONZE P550B FAN 12CM,fuentes,134.27128,,,,,
FUENTE 550W PERFORMANCE SATA*4 BOX,fuentes,28.2172,,,,,
FUENTE 550W PERFORMANCE SATA*4 OEM,fuentes,28.2172,,,,,
FUENTE 600W CX  ATX600 P/GAB. TOWER OEM,fuentes,34.59269,,,,,
FUENTE 600W CX  ATX600 P/GAB. TOWER OEM,fuentes,34.59269,,,,,
FUENTE 600W CX ATX600 P/GAB SLIM  OEM,fuentes,35.2715,,,,,
FUENTE 600W CX LP-ATX600 P/GAB. TOWER OEM,fuentes,35.36467,,,,,
FUENTE 600W CX LP-ATX600 P/GAB. TOWER OEM,fuentes,35.36467,,,,,
FUENTE 600W GAMEMAX 80 PLUS BRONZE VP-600 FAN 12CM,fuentes,102.02115,,,,,
FUENTE 600W PERFORMANCE ATX600 OEM,fuentes,29.82771,,,,,
FUENTE 600W PERFORMANCE ATX600 OEM,fuentes,29.82771,,,,,
FUENTE 650W ADATA XPG CORE REACTOR GOLD,fuentes,198.95788,,,,,
FUENTE 700W CX LP-ATX700 BULK S/CABLE,fuentes,38.25294,,,,,
FUENTE 700W GAMEMAX VP-700 80 PLUS BRONZE,fuentes,112.36302,,,,,
FUENTE 750W ADATA XPG CORE REACTOR GOLD,fuentes,212.84021,,,,,
FUENTE 750W ADATA XPG PYLON BRONZE,fuentes,125.92591,,,,,
FUENTE 750W GIGABYTE 80 PLUS GOLD P750GM FAN 12CM,fuentes,195.76348,,,,,
FUENTE 800W GAMEMAX 80 PLUS GM-800 FAN 14CM,fuentes,186.63282,,,,,
FUENTE 850W ADATA XPG CORE REACTOR GOLD,fuentes,227.52114,,,,,
FUENTE 850W GIGABYTE GP-P850GM/AR,fuentes,232.47246,,,,,
"FUENTE ALIMENTACION NOTEBOOK 19V, 2,1A, 40W",fuentes,25.62175,,,,,
FUENTE GRALF 12V 4.3A BORNERA CON FUNCION UPS,fuentes,48.3153,,,,,
FUENTE HPE 500W FS Plat Ht Plg LH Pwr Sply Kit,fuentes,344.66245,,,,,
FUENTE HPE 800W Flex Hot Plug Low Halogen P,fuentes,683.85449,,,,,
Fuente HPE-Aruba Instant On 12v,accesorios,30.32018,,,,,
Fuente HPE-Aruba Instant On 48v,accesorios,36.62912,,,,,
FUENTE LENOVO 460W Redundant Power Supply,fuentes,184.41005,,,,,
FUENTE LENOVO 550W High Efficiency Platinum AC,fuentes,182.14735,,,,,
FUENTE LENOVO 950W/1450W BLADE CENTER S,fuentes,419.95712,,,,,
FUENTE LINKSYS CISCO 12V 1A 2.1MM,fuentes,6.60176,,,,,
FUENTE MAENI B 12V 500MA 2.1M +,fuentes,13.01718,,,,,
FUENTE MAENI DC 48V 1.5A 2.1MM +,fuentes,55.43615,,,,,
FUENTE MAENI E 5V 2A 2.1M + SW,fuentes,23.75835,,,,,
Fuente Switching 5Vcc 1Amp,fuentes,27.37867,,,,,
FUNDA FLIP COVER  P/ CX502E,accesorios,0.98494,,,,,
FUNDA P/ MONITOR 15,accesorios,2.75517,,,,,
FUNDA P/ NB 14 C/ MANIJA TRIPLE KIT (CIERRE NEGRO),accesorios,2.3958,,,,,
FUNDA P/ TABLET 7 NOGANET NG-8728U NEGRA,accesorios,13.15028,,,,,
FUNDA P/ TABLET SILICONA BUMPER 7 PR7TNF/PR7R AZUL,accesorios,3.512795,,,,,
FUNDA P/ TABLET SILICONA BUMPER CX9011 AZUL,accesorios,2.77134,,,,,
FUNDA P/NET 10 BAGS SIMIL NEOPRENE NEGRO,accesorios,0.57233,,,,,
FUNDA P/NETBOOK 10.1 C/CIERRE NEGRO-PLATA,accesorios,18.91351,,,,,
FUNDA P/NOTEBOOK 15 PINNACLE PH1030N NEO C/TAPA,accesorios,0.42592,,,,,
FUNDA P/TABLET DCELL 10 C/SOPORTE INTERIOR,accesorios,0.81191,,,,,
FUNDA P/ULTRABOOK DCELL SLEEVE 13.3 NEOPLEX NEGRO,accesorios,4.99125,,,,,
FUNDA PARA CELULAR CX S400,accesorios,0.63888,,,,,
FUNDA PARA CELULAR CX S500,accesorios,0.69212,,,,,
FUSOR BROTHER LU0215001,accesorios,114.25304,,,,,
FUSOR BROTHER LU1177001,accesorios,154.72875,,,,,
GAB  PERF KITX3 2801 TEC+MOU+ATX PS3 500W,gabinetes,61.856795,,,,,
GAB  PERF KITX3 6801 TEC+MOU+600W,gabinetes,68.906695,,,,,
GAB  PERF KITX3 6813 TEC+MOU+CARD READER 600W,gabinetes,81.75453,,,,,
GAB  PERF SLIM KITX3 5836 TEC+MOU 600W,gabinetes,78.44837,,,,,
GAB ADATA GAMER XPG INVADER NEGRO EXPO,gabinetes,114.998455,,,,,
GAB GAMEMAX BLACK HOLE 2* FAN ARGB M-ATX,gabinetes,144.826825,,,,,
GAB GAMEMAX CONTACT BG COC FAN * 2 ARGB ATX,gabinetes,157.26139,,,,,
GAB GAMEMAX CYCLOPS BG FAN ARGB M-ATX,gabinetes,101.76166,,,,,
GAB GAMEMAX CYCLOPS BG FAN ARGB M-ATX **CAJA DA�AD,gabinetes,91.587925,,,,,
GAB GAMEMAX DARK RANGER BLACK 1* FAN ARGB M-ATX,gabinetes,81.718065,,,,,
GAB GAMEMAX FORTRESS TG MID-TOWER ATX FAN X 3,gabinetes,87.90496,,,,,
GAB GAMEMAX G561 BLACK ATX FAN AZUL X3,gabinetes,76.515725,,,,,
GAB GAMEMAX H601 BR (BLACK/ RED) 1* FAN BLUE M-ATX,gabinetes,68.153085,,,,,
GAB GAMEMAX H601 BS (NEGRO / SILVER),gabinetes,66.038115,,,,,
GAB GAMEMAX H602 EXPLORER WHITE M-ATX 1XFAN,gabinetes,77.42735,,,,,
GAB GAMEMAX H606 SILENT HILL,gabinetes,64.214865,,,,,
GAB GAMEMAX MINI ABYSS  H608 1* FAN RGB M-ATX,gabinetes,151.30544,,,,,
GAB GAMEMAX NINJA TURBO FAN ARGB ATX,gabinetes,144.753895,,,,,
GAB GAMEMAX NOVA N5 MID-TOWER ATX 1*FAN RGB,gabinetes,66.062425,,,,,
GAB GAMEMAX NOVA N6 MID-TOWER ATX 1*FAN ARGB,gabinetes,73.99964,,,,,
GAB GAMEMAX PALADIN T801 BLACK 1* FAN ARGB ATX,gabinetes,148.011435,,,,,
GAB GAMEMAX REVOLT  3* FAN ARGB M-ATX,gabinetes,133.41328,,,,,
GAB GAMEMAX TYPHOON COC  FAN ARGB ATX,gabinetes,108.61708,,,,,
GAB GAMER AY-4 SIN FUENTE SIN CAJA *EXPO*,gabinetes,63.86237,,,,,
GAB GAMER PERFORMANCE 80-12  3 FANES RGB ATX,gabinetes,68.347565,,,,,
GAB GAMER PERFORMANCE 80-16  1 FAN RGB ATX,gabinetes,55.609125,,,,,
GAB GIGABYTE AORUS C300G GLASS RGB SIN FUENTE,gabinetes,315.49518,,,,,
GAB GIGABYTE C200 GLASS RGB SIN FUENTE,gabinetes,157.74759,,,,,
GAB MSI MAG FORGE 111R V TEMPLADO FAN SIN FUENTE,gabinetes,131.456325,,,,,
GAB MSI MAG FORGE M100A FAN RGB SIN FUENTE,gabinetes,132.7326,,,,,
GAB MSI MAG VAMPIRIC 010 RGB SIN FUENTE,gabinetes,78.873795,,,,,
GAB SYX M-03 BLACK MICRO ATX FAN RGB X2,gabinetes,48.632155,,,,,
GAB SYX RAGER BLACK ATX  SIN FAN,gabinetes,74.814025,,,,,
GIFT CX LAMPARA + MIC USB INTEL,accesorios,59.01654,,,,,
GIFT CX SET ESCOLAR - CE- T242,accesorios,4.16603,,,,,
GIFT JUEGO PC COMPANY OF HEROES,gamer,12.155,,,,,
GIFT JUEGO PC LOST PLANET,gamer,12.155,,,,,
GOOGLE CHROMECAST 3 SMART TV (SIN TRAFO USB BLACK,electro,68.02741,,,,,
GOOGLE CHROMECAST 4 SMART TV (SIN TRAFO) USB,electro,119.01802,,,,,
GRABA DVD  LITE ON 22X D.L. SATA NEGRA,accesorios,27.263665,,,,,
GRABA DVD  PERFORMACE 22X DL BLACK SATA,accesorios,22.51106,,,,,
GRABA DVD HPE 12.7mm SATA DL380P,accesorios,57.675475,,,,,
GRABA DVD HPE 9.5mm SATA RW Jb Kit DL360E/P,accesorios,35.63846,,,,,
GRABA DVD P/NB 12.7 MM PERFORMACE IDE BLACK,accesorios,6.600165,,,,,
GRABA DVD P/NB 12.7MM SATA FRENTES VARIOS,accesorios,7.43886,,,,,
GRABA DVD P/NB 12.7MM SATA SIN FRENTE,accesorios,6.36922,,,,,
GRABA DVD P/NB 9.5MM SATA  SIN FRENTE,accesorios,6.770335,,,,,
GRABA DVD P/NB LITE ON  12.7MM P/N SATA SIN FRENTE,accesorios,6.73387,,,,,
GRABA DVD P/NB PERFORMANCE SATA BLACK,accesorios,6.95266,,,,,
GRIP FOR COLECTOR NEWLAND MT-6550,accesorios,48.67467,,,,,
"GRUPO FIJACION GABITEL M6, mural (20un)",electro,13.41648,,,,,
GRUPO FIJACION GABITEL M6-10 (50 UN),electro,69.91743,,,,,
"GRUPO FIJACION GABITEL.M6-10,rack(30un)",electro,39.87676,,,,,
"GRUPO FIJACION GABITEL.M6-8,rack(30un)",electro,24.79653,,,,,
HD 10TB SEAGATE  SATA 6GB/S 5400 256MB SKYHAWK,discos,465.34202,,,,,
HD 12TB SEAGATE  SATA 6GB/S 5400 256MB SKYHAWK,discos,722.83354,,,,,
HD 12TB SEAGATE SATA 6GB/S 256MB NAS IRONWOLF PRO,discos,674.40802,,,,,
HD 14TB SEAGATE  SATA 6GB/S 7200 256MB SKYHAWK,discos,775.306675,,,,,
HD 16TB SEAGATE  SATA 6GB/S 5400 256MB SKYHAWK,discos,912.512315,,,,,
HD 16TB SEAGATE SATA 6GB/S 256MB NAS IRONWOLF PRO,discos,1101.109295,,,,,
HD 1TB P/NOTEBOOK SEAGATE 2.5 SATA  (OEM),discos,55.79145,,,,,
HD 1TB P/NOTEBOOK TOSHIBA S-ATA (OEM),discos,55.30525,,,,,
HD 1TB P/NOTEBOOK WD S-AT II 5400 8MB CAVIAR(OEM),discos,55.79145,,,,,
HD 1TB PORTABLE SEAGATE EXPANSION  BLACK 3.0 2.5,discos,85.93585,,,,,
HD 1TB PORTABLE SEAGATE GAMING RGB,discos,119.398565,,,,,
HD 1TB SEAGATE  SATA 6GB/S 5900 64MB SKYHAWK,discos,82.957875,,,,,
HD 1TB SEAGATE BARRACUDA S-ATA III 7200 64MB,discos,70.57193,,,,,
HD 1TB TOSHIBA S-ATA III 7200 32MB (OEM),discos,61.2612,,,,,
HD 1TB WESTERN DIGITAL BLUE 3.5 SATA 7200 64MB,discos,57.22574,,,,,
HD 1TB WESTERN DIGITAL PURPLE 3.5 SATA 64MB,discos,81.790995,,,,,
HD 250 GB P/NOTEBOOK S-ATA 5400 8MB TOSHIBA,accesorios,16.713125,,,,,
HD 2TB LENOVO 2TB SATA 6GB/S 7200RPM P/SERVER,discos,69.101175,,,,,
HD 2TB PORTABLE SEAGATE  GREEN LED 3.2 USB XBOX,discos,169.234065,,,,,
HD 2TB PORTABLE SEAGATE EXPANSION  BLACK 3.0 2.5`,discos,113.272445,,,,,
HD 2TB PORTABLE SEAGATE GAME DRIVE PS4 USB 3.0,discos,169.768885,,,,,
HD 2TB PORTABLE SEAGATE GAMER USB 3.2   GROGU STAR,discos,212.54233,,,,,
HD 2TB PORTABLE SEAGATE GAMER USB 3.2 BOBA FETT,discos,212.54233,,,,,
HD 2TB PORTABLE SEAGATE GAMER USB 3.2 MANDALORIAN,discos,212.54233,,,,,
HD 2TB PORTABLE WD ELEMENTS BLACK USB 3.0 2.5,discos,149.883305,,,,,
HD 2TB SEAGATE  SATA 6GB/S 5900 64MB SKYHAWK,discos,104.41145,,,,,
HD 2TB SEAGATE  SATA 6GB/S 64MB NAS IRONWOLF,discos,151.317595,,,,,
HD 2TB SEAGATE  SATA 6GB/S FIRECUDA - 3.5,discos,185.691935,,,,,
HD 2TB SEAGATE BARRACUDA 3.5 SATA 5900 256MB,discos,99.54945,,,,,
HD 2TB SEAGATE BARRACUDA 3.5 SATA 7200 256MB,discos,99.54945,,,,,
HD 2TB WESTERN DIGITAL BLUE 3.5 SATA 7200,discos,84.197685,,,,,
HD 320 GB P/NOTEBOOK HITACHI  S-ATA 5400  8MB,discos,35.58984,,,,,
HD 320 GB P/NOTEBOOK SAMSUNG S-ATAII 8MB (R),discos,38.33687,,,,,
HD 320 GB P/NOTEBOOK TOSHIBA S-ATA 5400  8MB,discos,38.081615,,,,,
HD 320 GB P/NOTEBOOK WD S-ATA 5400 8M 7MM,discos,37.279385,,,,,
HD 320 GB P/NOTEBOOK WD S-ATA II 8MB (R),discos,37.352315,,,,,
HD 3TB SEAGATE 6GB/S 5900 64MB SKYHAWK,discos,150.43028,,,,,
HD 3TB SEAGATE 6GB/S 64MB NAS IRONWOLF,discos,158.173015,,,,,
HD 4TB PORTABLE SEAGATE EXPANSION  BLACK 3.0,discos,184.597985,,,,,
HD 4TB SEAGATE BARRACUDA 3.5 SATA 5400 256MB,discos,139.92836,,,,,
HD 4TB SEAGATE SATA 6GB/S 5400 64MB SKYHAWK,discos,175.32372,,,,,
HD 4TB SEAGATE SATA 6GB/S 64MB NAS IRONWOLF,discos,170.230775,,,,,
HD 4TB WESTERN DIGITAL BLUE 3.5 5400 256MB,discos,107.15848,,,,,
HD 5 TB PORTABLE SEAGATE EXPANSION 3.0,discos,204.95761,,,,,
HD 500 GB P/NB TOSHIBA 2.5 SATA 16MB 7200RPM,discos,41.0839,,,,,
HD 500 GB P/NB TOSHIBA 2.5 SATA 8MB 5400RPM,discos,41.0839,,,,,
HD 500 GB SEAGATE 2.5 SATA 5400RPM OEM,discos,40.79218,,,,,
HD 6TB SEAGATE  SATA 6GB/S 256MB NAS IRONWOLF,discos,276.96383,,,,,
HD 6TB SEAGATE  SATA 6GB/S 5400  SKYHAWK,discos,247.439335,,,,,
HD 6TB SEAGATE BARRACUDA 3.5 SATA 5400 256MB,discos,271.214515,,,,,
HD 6TB WESTERN DIGITAL BLUE 3.5 5400 256MB,discos,220.37015,,,,,
HD 8TB SEAGATE  SATA 6GB/S 256MB NAS IRONWOLF,discos,379.06583,,,,,
HD 8TB SEAGATE  SATA 6GB/S 5400 256MB SKYHAWK,discos,374.969595,,,,,
HD 8TB SEAGATE BARRACUDA 3.5 SATA 5400 256MB,discos,364.880945,,,,,
HD SAS DELL 1.2TB 12GBPS 512N 3.5IN HOT-PLUG,discos,909.21831,,,,,
HD SAS DELL 1.8TB 12GBPS 512N 3.5IN HOT-PLUG CK,discos,818.5177,,,,,
HD SAS DELL 2.4TB 12GBPS 512N 3.5IN HOT-PLUG,discos,1389.26788,,,,,
HD SAS DELL 300GB 15K RPM 12GBPS 2.5IN  SIN CK,discos,413.27,,,,,
HD SAS HPE MSA 1.8TB 12G 10K 2.5in HDD,discos,1625.43953,,,,,
HD SATA DELL 1TB 7.2 RPM 6GBP 3.5 CERTIFICADO DELL,discos,133.24311,,,,,
HD SATA DELL 1TB 7.2 RPM 6GBP 3.5 DELL (EXPO),discos,130.3016,,,,,
HD SATA DELL 1TB 7.2 RPM 6GBPS 3.5,discos,249.97973,,,,,
HD SATA DELL 2TB 7.2K RPM 6GBPS 3.5IN  CK,discos,450.36706,,,,,
HD SATA DELL 2TB 7.2K RPM 6GBPS 512 3.5 CARRY,discos,263.25299,,,,,
HD SATA DELL 2TB 7.2K RPM 6GBPS 512 3.5IN - SIN CK,discos,309.454145,,,,,
HD SATA DELL 4TB 7.2 RPM 6GBPS 3.5IN  HOT PLUG,discos,730.0293,,,,,
HD SATA DELL 8TB 6GBPS 3.5IN CABLED,discos,942.40146,,,,,
HD SATA DELL 8TB 7.2K RPM 6GBPS 512E 3.5IN HOTPLUG,discos,632.69206,,,,,
HD SATA DELL SSD 480GB MIX 12GBPS 512N 3.5 HOT PLU,discos,1762.025265,,,,,
HD SATA DELL SSD 960GB RI 6GBPS 3.5IN CABLED,discos,774.2735,,,,,
HD SATA HPE 1TB 6G 3.5in NHP MDL HDD,discos,199.41493,,,,,
HELADERA BAMBI 2F 1200PA 239LTS  GRIS,electro,581.40742,,,,,
HELADERA BAMBI 2F 1600BA 329LTS BLANCA,electro,660.28248,,,,,
HELADERA BAMBI 2F 1600PDA 329LTS GRIS C/ DISPENSER,electro,694.23629,,,,,
HELADERA BAMBI 2F1600BDA 329LTS BLANCA C/DISPENSER,electro,650.56618,,,,,
HELADERA BAMBI 2F1800BDA 368LT BLANCA C/DISPENSER,electro,700.51861,,,,,
HELADERA SAMSUNG  RL4363SBABS 432 LTS BOTTOM,electro,2708.65155,,,,,
HELADERA SAMSUNG  RT44A6640B1 BLACK,electro,1777.53719,,,,,
HELADERA SAMSUNG RT29K577JS8 290LTS SILVER DISPENS,electro,1008.20588,,,,,
HELADERA SAMSUNG RT38K5932BS 382 LTS  BLACK,electro,1566.50714,,,,,
HERRAMIENTA FURUKAWA ALICATE DE CRIMPEADO RJ-45,cables,160.74487,,,,,
HERRAMIENTA FURUKAWA DE IMPACTO RAPIDO 90/180,cables,127.27022,,,,,
HERRAMIENTA FURUKAWA ITMAX CREACION SLOTS c/Maleta,cables,2207.9959,,,,,
HERRAMIENTA FURUKAWA ITMAX p/Corte de Canaletas,cables,439.97536,,,,,
HERRAMIENTA P/PELAR FIBRA OPTICA HUBBELL,redes,23.10616,,,,,
HOJA DE CUTER TM-T80/267/300A -146F20150,accesorios,5.39055,,,,,
HOJAS MEMBRETADAS A4 AIR X1000,impresion,5.39055,,,,,
HORNO ELECTRICO SMARTLIFE SL-TO00PN 40 LITROS,electro,144.53329,,,,,
HORNO ELECTRICO SMARTLIFE SL-TO00PN 60LITROS,electro,183.4118,,,,,
HORNO ELECTRICO SMARTLIFE SL-TOR050PN 50 LITROS,electro,158.20266,,,,,
HP  10  CAB CIAN C4801A P/HP 2000/2500  VENC,impresion,2.078505,,,,,
HP  10 CIAN C4841A S/CAJA- VENCIDO,impresion,1.519375,,,,,
HP  10 MAGENTA C4843A S/CAJA- VENCIDO,impresion,1.519375,,,,,
HP  11 MAGENTA C4837AL S/CAJA- VENCIDO,impresion,1.519375,,,,,
HP  12  CAB AMARILLO C5026A - VENCIDOS,impresion,2.078505,,,,,
HP  12  CAB CIAN C5024A - VENCIDOS,impresion,1.519375,,,,,
HP  12  CAB MAGENTA C5025A - VENCIDOS,impresion,1.519375,,,,,
HP  12  CAB NEGRO C5023A - VENCIDOS,impresion,2.078505,,,,,
HP  12 AMARILLO C4806A P/HP3000 VENCIDO,impresion,2.078505,,,,,
HP  12 MAGENTA C4805A P/HP3000 VENCIDO,impresion,2.078505,,,,,
HP  14 CAB MAGENTA C4922A P/HPCP1160 - VENCIDO,impresion,1.519375,,,,,
HP  14 CAB MAGENTA C4922A P/HPCP1160 VENCIDO,impresion,2.078505,,,,,
HP  14 CAB NEGRO C4920A S/CAJA-VENCIDO,impresion,1.519375,,,,,
HP  14 TRICOLOR C5010DL P/ HPCP1160 - VENC,impresion,2.078505,,,,,
HP  16 TRICOLOR C1816A S/CAJA- VENCIDO,impresion,1.519375,,,,,
HP  19 NEGRO C6628A P/HP350 VENCIDO,impresion,1.519375,,,,,
HP  25 TRICOLOR 51625A  EXPO,impresion,1.519375,,,,,
HP  40 AMARILLO 51640Y P/HP1200C/1600C VENC,impresion,2.078505,,,,,
HP  40 CIAN 51640C P/HP1200C/1600C VENCIDO,impresion,2.078505,,,,,
HP  40 CIAN 51640C S/CAJA- VENCIDO,impresion,1.519375,,,,,
HP  49 TRICOLOR 51649A P/HP610/30/40/56/ VENCIDO,impresion,1.519375,,,,,
HP  50 CIAN 51650C P/HP250C/600C/650 - VENCIDOS,impresion,2.078505,,,,,
HP  51633  S/CAJA- VENCIDO,impresion,1.519375,,,,,
HP  58 FOTOGRAFICO C6658A S/CAJA- VENCIDO,impresion,1.519375,,,,,
HP  58 FOTOGRAFICO C6658A VENCIDO P/HP3650/3845,impresion,2.078505,,,,,
HP  662XL NEGRO CZ105AL P/HP 1515/2515/3515,impresion,22.51106,,,,,
"HP  670 AMARILLO P/ HP 3525/4615/4625,/5525 CZ116A",impresion,1.519375,,,,,
HP  675 COLOR CN691AL P/HP 4000,impresion,2.078505,,,,,
HP  70 NEGRO MATE C9448A P/Z2100/Z3100 F,impresion,10.392525,,,,,
HP  81 CIAN C4931A P/HP SERIE 5000,impresion,7.596875,,,,,
HP  81 CIAN C4931A P/HP SERIE 5000 S/CAJA-VENCIDO,impresion,7.596875,,,,,
HP  81 CIAN CLARO C4934A S/CAJA-VENCIDO,impresion,7.596875,,,,,
HP  82 NEGRO CH565A P/HP 510,impresion,7.596875,,,,,
HP  84  CAB CIAN CLARO C5020A P/HP DJ 120 VENC,impresion,1.519375,,,,,
HP  84  CAB CIAN CLARO C5020A S/CAJA-VENCIDO,impresion,3.03875,,,,,
HP  84 LIGHT MAGENTA C5018A P/HP DJ 120,impresion,3.03875,,,,,
HP  85   CAB CIAN CLARO C9423A S/CAJA-VENCIDO,impresion,3.03875,,,,,
HP  85  CAB AMARILLO C9422A S/CAJA- VENCIDO,impresion,3.03875,,,,,
HP  85  CAB CIAN C9420A L VENCIDO,impresion,3.03875,,,,,
HP  85  CAB CIAN C9420A S/CAJA-VENCIDO,impresion,1.519375,,,,,
HP  85  CAB MAGENTA C9421A S/CAJA- VENCIDO,impresion,3.03875,,,,,
HP  85 AMARILLO C9427A P/HP DJ 30/90/130 VENCIDO,impresion,7.596875,,,,,
HP  85 CIAN C9425A P/HP DJ 30/90 S/CAJA- VENCIDO,impresion,4.15701,,,,,
HP  88 AMARILLO C9388AL P/HPK550/5400 VENC,impresion,1.519375,,,,,
HP  90  CAB/LIMP CIAN C5055A S/CAJA- VENCIDO,impresion,7.596875,,,,,
HP  90 AMARILLO C5065A P/HP DJ 4000/4000PS F,impresion,7.596875,,,,,
HP  901 TRICOLOR VENC CC656AL P/HP J4660/J4550,impresion,2.078505,,,,,
HP  91  CAB MAG Y AMARILLO C9461A P/Z6100,impresion,3.03875,,,,,
HP  91  CAB NEGRO FOTO Y LIGHT GRIS C9463A P/Z6100,impresion,3.03875,,,,,
HP  91  CAB NEGRO MATE Y CIAN C9460A P/Z6100 VENCI,impresion,3.03875,,,,,
HP  91 LIGHT CIAN C9470A P/Z6100 F VENCIDA,impresion,4.15701,,,,,
HP  91 LIGHT GRIS C9466A P/Z6100 F VENCIDO,impresion,4.15701,,,,,
HP  91 NEGRO FOTO C9465A P/Z6100 F VENCIDO,impresion,4.15701,,,,,
HP  94 NEGRO C8765WL P/HP6540/PSC2355/1610,impresion,2.078505,,,,,
HP  940 NEGRO C4902AL VENC P/HP 8000/8500,impresion,2.078505,,,,,
HP  99  FOTOGRAFICO C9369WL P/HP7310 VENCIDO,impresion,1.519375,,,,,
HP  C1807A AZUL PLOTTER 2500/3000/3500 S/CAJA,impresion,4.15701,,,,,
HP  C4802A MAGEN/ROJO ORIGINAL SIN CAJA- VENCIDO,impresion,1.519375,,,,,
HP  C4923A YELLOW P/HP 7110/ HP14,impresion,3.03875,,,,,
HP 100 GRIS FOTOGRAFICO C9368AL - VENCIDO,impresion,1.519375,,,,,
HP 100 GRIS FOTOGRAFICO C9368AL P/HP7310/7410 VENC,impresion,2.078505,,,,,
HP 13 CYAN C4815A VENCIDO,impresion,4.15701,,,,,
HP 13 MAGENTA 14 ML C4816A VENCIDO,impresion,4.15701,,,,,
"HP 772 Lt Magenta DJ Ink Crtg , 300ml, CN631A",impresion,10.392525,,,,,
HP 971 AMARILLO VENC CN624AM P/HPX451XD/X476DW,impresion,4.15701,,,,,
HP 971 CIAN VENC CN622AM P/HP X451XD/X476DW,impresion,4.15701,,,,,
